property_type,society,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,Price_in_Crore,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,luxury_score_bin
flat,eldeco accolade,sohna road,5420.0,2.0,2,2,7.0,Relatively New,0.78,1457.0,1,0,0,0,0,2,137,"[100, 150)"
flat,ats kocoon,sector 109,9628.0,3.0,3,3,8.0,Relatively New,1.68,1745.0,0,0,0,0,0,0,142,"[100, 150)"
house,independent,sector 24,128888.88888888886,3.0,3,1,2.0,Old Property,6.959999999999999,540.0,0,0,0,0,0,0,9,"[0, 50)"
flat,shapoorji pallonji joyville gurugram,sector 102,10227.0,3.0,3,3,1.0,Relatively New,1.76,1692.0,0,0,0,0,0,0,100,"[100, 150)"
flat,m3m golfestate,sector 65,18287.0,3.0,3,3,23.0,Moderately Old,6.15,3080.0,1,1,0,0,0,2,60,"[50, 100)"
flat,shapoorji pallonji joyville gurugram,sector 102,12182.0,2.0,2,1,8.0,Under Construction,1.1,903.0,0,0,0,0,0,0,105,"[100, 150)"
flat,pivotal devaan,sector 84,7039.0,2.0,2,1,1.0,Relatively New,0.34,549.0,0,0,1,0,0,2,84,"[50, 100)"
flat,dnha group housing society,imt manesar,4518.0,3.0,2,2,5.0,Moderately Old,0.75,1660.0,0,0,0,0,0,0,0,"[0, 50)"
flat,paras irene,sector 70a,9220.0,2.0,2,3,19.0,Moderately Old,1.3,1602.0,0,0,0,0,0,2,49,"[0, 50)"
house,independent,sector 26,9870.310536707952,5.0,5,2,3.0,Relatively New,1.7596,1782.72,0,1,0,0,0,0,9,"[0, 50)"
flat,prime habitat,sector 99a,4745.0,2.0,2,1,6.0,Relatively New,0.261,625.0,0,0,0,0,1,0,79,"[50, 100)"
house,independent,sector 43,14183.574879227051,5.0,6,3+,3.0,Moderately Old,3.829565217391304,2700.0,1,1,1,1,0,2,64,"[50, 100)"
flat,ss the leaf,sector 110,6585.0,2.0,2,3,8.0,New Property,1.08,1200.0,1,1,1,1,0,2,157,"[150, 200)"
house,independent,sector 28,8525.867136978248,5.0,6,3+,3.0,New Property,2.762380952380952,3240.0,1,1,0,1,0,2,153,"[150, 200)"
house,independent,sector 40,16666.666666666668,3.0,3,2,3.0,Moderately Old,1.5,900.0,0,0,0,0,1,2,35,"[0, 50)"
flat,m3m heights,sector 65,17996.0,3.0,3,3,20.0,Under Construction,3.0,1667.0,0,0,0,0,0,0,60,"[50, 100)"
flat,signature global synera,sector 81,6803.0,2.0,2,3,6.0,Relatively New,0.5,700.0,0,0,0,0,0,0,117,"[100, 150)"
flat,pareena coban residences,sector 99a,8793.0,2.0,2,3,3.0,Relatively New,1.02,1430.0,1,0,0,0,0,0,174,"[150, 200)"
flat,mapsko royale ville,sector 82,5531.0,3.0,4,2,14.0,New Property,0.99,1790.0,0,1,0,0,0,0,95,"[50, 100)"
flat,vatika the seven lamps,sector 82,6538.0,2.0,2,2,0.0,Relatively New,0.85,1300.0,0,0,0,0,0,2,49,"[0, 50)"
flat,signature global park 4,sector 36,6429.0,3.0,2,3,2.0,Under Construction,0.72,1273.0,0,0,0,0,0,0,0,"[0, 50)"
flat,dlf regal gardens,sector 90,6926.0,3.0,3,3+,29.0,Relatively New,1.21,1747.0,0,0,0,0,1,0,95,"[50, 100)"
flat,central park flower valley,sector 33,21538.0,3.0,3,3,2.0,Under Construction,1.4,650.0,0,0,0,0,0,0,54,"[50, 100)"
flat,sobha city,sector 108,16859.0,3.0,5,2,15.0,New Property,3.95,2343.0,0,1,0,0,0,0,118,"[100, 150)"
flat,la vida by tata housing,sector 113,13352.0,3.0,4,3,3.0,Relatively New,2.35,1930.0,0,1,0,0,0,0,174,"[150, 200)"
flat,emaar mgf emerald estate,sector 65,12545.0,3.0,3,3,10.0,Relatively New,1.75,919.0,0,1,0,0,0,2,124,"[100, 150)"
flat,dlf new town heights,sector 90,6980.0,4.0,4,3+,15.0,Moderately Old,1.65,2364.0,0,1,0,0,0,2,137,"[100, 150)"
house,shivpuri,shivpuri,6517.037037037037,5.0,5,3,2.0,Old Property,1.7596,2700.0,1,1,0,1,0,0,8,"[0, 50)"
house,unitech deerwood chase,sector 50,6982.051282051282,4.0,4,2,2.0,Moderately Old,3.141923076923077,4500.0,0,1,0,0,0,0,160,"[150, 200)"
flat,ramson kshitij sec-95 gurugram,sector 95,2700.0,2.0,2,0,1.0,Relatively New,0.27,625.0,0,0,0,0,0,0,0,"[0, 50)"
flat,signature global city 37d ph 2,sector 37d,9375.0,3.0,3,3+,3.0,Under Construction,1.35,1636.0,0,0,0,1,0,0,51,"[50, 100)"
flat,project krishna colony,sector 7,5143.0,2.0,2,1,0.0,Relatively New,0.36,700.0,0,0,0,0,0,0,0,"[0, 50)"
flat,ild greens,sector 37c,5245.0,2.0,2,3+,13.0,Relatively New,0.75,1430.0,0,0,0,0,0,0,51,"[50, 100)"
flat,breez global heights,sohna road,4105.0,2.0,2,2,3.0,Relatively New,0.39,720.0,0,0,0,0,0,0,0,"[0, 50)"
flat,tulip violet,sector 69,10106.0,4.0,5,3+,14.0,Relatively New,3.25,3216.0,0,0,0,1,1,0,20,"[0, 50)"
flat,bestech park view grand spa,sector 81,10000.0,4.0,4,3+,25.0,Relatively New,4.2,3295.0,0,1,0,0,0,2,90,"[50, 100)"
house,ansal sushant lok plots,sector 43,14183.574879227051,5.0,5,3+,3.0,Relatively New,3.829565217391304,2700.0,1,1,0,1,0,2,41,"[0, 50)"
flat,shree vardhman flora,sector 90,5926.0,2.0,3,2,0.0,Relatively New,0.8,1350.0,0,0,0,0,0,0,60,"[50, 100)"
flat,ambience creacions,sector 22,15469.0,3.0,4,3,7.0,Relatively New,4.78,2500.0,0,1,0,0,1,1,111,"[100, 150)"
flat,godrej,sector 79,8270.0,2.0,2,3,3.0,New Property,1.3,1572.0,1,0,0,0,0,0,49,"[0, 50)"
house,independent,sohna road road,3655.7142857142853,3.0,3,3+,2.0,Moderately Old,1.2794999999999999,3500.0,1,1,0,1,1,0,49,"[0, 50)"
house,vipul tatvam villa,sector 48,14774.805669867399,3.0,4,2,2.0,Moderately Old,3.82962962962963,2592.0,1,1,1,1,0,2,115,"[100, 150)"
flat,tulip violet,sector 69,8447.0,3.0,3,1,12.0,Relatively New,1.3,1538.0,0,0,0,1,0,2,94,"[50, 100)"
flat,sare crescent parc,sector 92,4278.0,4.0,5,3+,14.0,Relatively New,0.9,1870.0,0,1,0,0,1,0,62,"[50, 100)"
flat,unitech fresco,sector 50,10479.0,3.0,3,3+,14.0,Moderately Old,1.88,1790.0,0,0,0,0,1,2,174,"[150, 200)"
flat,supertech araville,sector 79,6023.0,2.0,2,3+,17.0,Relatively New,0.78,1295.0,0,0,0,0,0,0,24,"[0, 50)"
house,independent,sector 25,5298.245614035088,5.0,5,3+,3.0,Moderately Old,5.033333333333333,9500.0,0,1,0,1,0,1,29,"[0, 50)"
flat,capital residences 360,sector 70a,8553.0,3.0,3,3+,8.0,New Property,1.69,1900.0,0,1,0,0,0,0,165,"[150, 200)"
flat,ambience creacions,sector 22,13916.0,3.0,4,3+,6.0,Relatively New,4.3,2600.0,0,1,0,0,1,1,120,"[100, 150)"
flat,emaar mgf emerald floors premier,sector 65,12121.0,3.0,3,3,1.0,Relatively New,2.0,1875.0,0,1,0,0,0,2,124,"[100, 150)"
house,ansal esencia sovereign floors,park view,11857.142857142857,3.0,3,3,3.0,Moderately Old,1.7596,1484.0,0,0,0,0,0,0,0,"[0, 50)"
house,emaar mgf marbella,sector 66,5236.094349904712,4.0,4,3+,3.0,Relatively New,2.9189655172413795,5574.7,0,1,1,0,0,0,122,"[100, 150)"
flat,bestech park view ananda,sector 81,7542.0,3.0,3,3+,10.0,Moderately Old,1.35,1284.0,0,0,1,0,0,2,72,"[50, 100)"
flat,cghs airport apartment,sector 47,7857.0,3.0,3,3,1.0,Old Property,1.65,1955.0,0,0,0,0,1,2,136,"[100, 150)"
flat,hcbs sports ville,sohna road,3769.0,2.0,2,1,11.0,Relatively New,0.28,743.0,0,0,0,0,0,0,38,"[0, 50)"
flat,ramprastha city,dwarka expressway,9286.0,3.0,3,2,3.0,Under Construction,1.3,1400.0,0,0,0,0,0,0,0,"[0, 50)"
flat,indiabulls enigma,sector 110,10567.0,5.0,5,2,10.0,Relatively New,4.1,3500.0,0,1,0,0,0,0,159,"[150, 200)"
flat,dlf regal gardens,sector 90,8081.0,4.0,3,3+,10.0,Moderately Old,1.79,2517.0,0,0,0,0,0,0,63,"[50, 100)"
flat,dlf the grove,sector 54,41245.0,3.0,3,3,1.0,Moderately Old,5.7,1382.0,0,0,0,0,0,0,46,"[0, 50)"
flat,bestech park view spa next,sector 67,12145.0,3.0,4,3+,14.0,Moderately Old,2.35,1935.0,0,1,0,0,0,2,156,"[150, 200)"
flat,signature global orchard avenue,sector 93,14238.0,2.0,2,0,10.0,Relatively New,0.85,597.0,0,0,0,0,0,0,0,"[0, 50)"
flat,ats marigold,sector 89,8605.0,3.0,3,3+,12.0,New Property,1.85,2150.0,0,1,0,0,0,0,37,"[0, 50)"
flat,ireo the corridors,sector 67a,11111.0,2.0,2,2,10.0,Relatively New,1.5,1534.0,0,0,1,0,0,2,38,"[0, 50)"
flat,tata primanti,sector 72,11427.0,4.0,5,3+,10.0,Relatively New,3.5,2625.0,0,1,0,0,1,0,38,"[0, 50)"
flat,sare green parc,sector 92,6538.0,3.0,2,2,20.0,Relatively New,0.85,1300.0,0,0,0,0,0,0,0,"[0, 50)"
flat,godrej air,sector 85,10606.0,2.0,2,1,15.0,Under Construction,1.05,97.0,0,0,0,0,0,0,45,"[0, 50)"
flat,godrej habitat,sector 3,8657.0,2.0,2,3,14.0,Under Construction,1.25,1038.0,0,0,0,0,0,0,36,"[0, 50)"
flat,bestech park view grand spa,sector 81,9137.0,4.0,5,2,6.0,Relatively New,2.91,3224.0,0,1,0,0,0,2,101,"[100, 150)"
house,independent,sector 4,10098.765432098764,1.0,1,0,1.0,Moderately Old,0.45444444444444443,450.0,0,0,0,0,0,0,0,"[0, 50)"
flat,m3m woodshire,sector 107,6881.0,2.0,2,3+,1.0,Moderately Old,0.94,1366.0,0,0,0,0,0,0,113,"[100, 150)"
house,international city by sobha phase 2,sector 109,4887.777777777777,4.0,6,3+,3.0,New Property,1.7596,3600.0,1,1,1,1,0,0,153,"[150, 200)"
flat,vatika gurgaon,sector 83,6162.0,3.0,3,3+,5.0,Relatively New,1.1,1600.0,0,0,0,0,0,2,96,"[50, 100)"
flat,bestech park view sanskruti,sector 92,11053.0,3.0,4,3+,15.0,Relatively New,1.68,1727.0,0,1,0,0,0,2,174,"[150, 200)"
flat,ss the leaf,sector 85,5641.0,4.0,6,3,10.0,Relatively New,2.2,3920.0,0,1,0,0,0,0,174,"[150, 200)"
house,vipul tatvam villa,sector 48,11819.844535893919,3.0,3,2,2.0,Moderately Old,3.82962962962963,3240.0,1,1,0,1,0,1,160,"[150, 200)"
house,malibu towne,sector 47,68484.84848484848,3.0,3,3,2.0,Old Property,1.8833333333333333,275.0,0,0,0,0,0,2,33,"[0, 50)"
flat,laxmi pareena,sector 99a,6667.0,2.0,1,0,12.0,New Property,0.3,511.0,0,0,0,0,0,0,0,"[0, 50)"
flat,om appartments,sector 3 phase 2,4444.0,3.0,2,1,3.0,Relatively New,0.4,1023.0,0,0,0,0,0,0,7,"[0, 50)"
house,independent,sector 13,18799.1452991453,1.0,1,0,1.0,Old Property,1.7596,936.0,0,0,0,0,0,0,0,"[0, 50)"
house,independent,sector 109,7455.932203389831,3.0,2,0,1.0,Relatively New,1.7596,2360.0,0,0,0,0,0,0,0,"[0, 50)"
flat,experion windchants,sector 112,11538.0,3.0,3,2,2.0,Relatively New,3.0,2600.0,0,0,0,0,1,2,49,"[0, 50)"
house,sector 38 rwa,sector 38,127272.72727272728,3.0,9,3+,3.0,Relatively New,2.1,165.0,0,0,0,1,1,2,41,"[0, 50)"
flat,ireo victory valley,sector 67,11904.0,3.0,3,3+,16.0,Relatively New,2.87,2055.0,0,1,0,0,0,2,174,"[150, 200)"
flat,experion the heartsong,sector 108,18394.0,4.0,5,3+,2.0,Relatively New,3.0,2204.25,0,1,0,0,0,1,149,"[100, 150)"
flat,signature signum 95a,sector 95,7782.0,2.0,2,2,3.0,New Property,0.4,584.0,0,0,0,0,0,0,44,"[0, 50)"
flat,adani brahma samsara vilasa,sector 63,14254.0,4.0,4,3+,3.0,New Property,4.49,3150.0,0,0,0,0,0,2,96,"[50, 100)"
house,independent,sector 13,91645.83333333333,2.0,6,0,3.0,Old Property,1.7596,192.0,0,0,0,0,0,0,0,"[0, 50)"
flat,ansal heights 86,sector 86,5541.0,3.0,3,3,9.0,Under Construction,1.05,1895.0,0,1,0,0,0,0,0,"[0, 50)"
flat,hcbs sports ville,sohna road,4603.0,1.0,1,1,9.0,Relatively New,0.22,477.85,0,0,0,0,0,2,44,"[0, 50)"
flat,smart world orchard,sector 61,13497.0,3.0,3,2,3.0,Under Construction,2.2,1852.0,0,0,0,0,0,0,16,"[0, 50)"
flat,ashray apartment,carterpuri village,7529.0,2.0,2,1,3.0,Moderately Old,0.64,966.0,0,0,0,0,0,2,42,"[0, 50)"
flat,paras dews,sector 106,6030.0,4.0,6,3+,11.0,Relatively New,1.42,2355.0,0,1,0,0,0,0,143,"[100, 150)"
flat,pareena coban residences,sector 99a,6510.0,3.0,3,0,16.0,New Property,1.3,1997.0,0,0,0,0,0,0,0,"[0, 50)"
flat,emaar palm gardens,sector 83,11872.0,3.0,3,3,16.0,Relatively New,1.3,1245.0,0,1,0,0,0,2,174,"[150, 200)"
flat,dlf regal gardens,sector 90,7222.0,4.0,4,3+,15.0,Moderately Old,1.7,2215.0,0,1,0,0,0,0,38,"[0, 50)"
flat,m3m soulitude,sector 89,8828.0,3.0,3,2,4.0,Under Construction,1.28,1648.0,1,0,0,0,0,0,114,"[100, 150)"
flat,m3m heights,sector 65,16653.0,2.0,2,3,8.0,New Property,2.1,909.0,0,0,0,0,0,0,31,"[0, 50)"
flat,511 sarahah tower,sector 12,8333.0,2.0,2,1,0.0,New Property,0.6,818.0,0,0,0,1,0,1,0,"[0, 50)"
flat,bestech park view ananda,sector 81,6687.0,3.0,2,3+,5.0,Relatively New,1.1,1175.0,0,0,0,0,0,0,150,"[150, 200)"
flat,dlf the ultima,sector 81,10762.0,3.0,4,3+,17.0,New Property,2.26,2100.0,0,1,0,0,0,1,174,"[150, 200)"
flat,emaar mgf palm hills,sector 77,8410.0,4.0,3,3,9.0,Relatively New,1.64,1950.0,0,1,0,0,0,0,102,"[100, 150)"
flat,bptp amstoria,bptp,8654.0,3.0,3,3+,7.0,Moderately Old,2.25,2600.0,0,0,0,0,0,0,68,"[50, 100)"
flat,breez global hill view,sohna road,7179.0,2.0,2,1,18.0,Relatively New,0.42,665.0,0,0,0,0,0,0,44,"[0, 50)"
flat,the lions cghs,sector 56,11056.0,4.0,4,3+,4.0,Old Property,1.99,2000.0,0,0,0,1,1,2,105,"[100, 150)"
flat,jmd empire,golf course road,12500.0,2.0,2,3,7.0,Relatively New,1.5,1200.0,0,0,0,0,0,0,0,"[0, 50)"
house,independent,sector 4,2524.691358024691,4.0,4,3+,2.0,Old Property,0.45444444444444443,1800.0,0,0,0,0,0,0,7,"[0, 50)"
flat,the close north,sector 50,11277.0,3.0,3,3+,3.0,Moderately Old,2.65,2491.0,0,1,0,0,0,0,174,"[150, 200)"
flat,m3m golfestate,sector 65,17456.0,3.0,3,3,18.0,Relatively New,5.2,2979.0,1,1,0,0,0,2,76,"[50, 100)"
flat,sobha city,sector 108,16859.0,3.0,4,2,15.0,Relatively New,3.95,2343.0,0,1,0,0,0,0,49,"[0, 50)"
flat,sagar apartment,sector 56,7250.0,3.0,3,3+,7.0,Old Property,1.45,1900.0,1,1,0,1,1,0,166,"[150, 200)"
flat,orris carnation residency,sector 85,5953.0,3.0,3,1,1.0,Relatively New,0.884,1485.0,0,0,0,0,0,0,65,"[50, 100)"
house,vipul tatvam villa,sector 48,11819.844535893919,4.0,4,1,2.0,Relatively New,3.82962962962963,3240.0,0,0,0,0,0,0,21,"[0, 50)"
flat,emaar the palm drive,sector 66,18634.0,3.0,4,3,2.0,Relatively New,3.9,2200.0,0,0,0,0,0,0,0,"[0, 50)"
flat,elan the presidential,sector 106,15918.0,3.0,3,0,20.0,Relatively New,3.9,2450.0,0,0,0,0,0,0,66,"[50, 100)"
house,dlf city plots,sector 26,5430.864197530864,4.0,5,2,2.0,Moderately Old,1.7596,3240.0,1,1,0,0,0,2,121,"[100, 150)"
flat,jmd gardens,sector 33,7509.0,4.0,4,3+,17.0,Old Property,3.25,4918.0,0,1,0,0,0,2,130,"[100, 150)"
house,krishna palace,sadar bazar,19551.11111111111,2.0,4,2,3.0,Moderately Old,1.7596,900.0,1,0,0,0,1,0,12,"[0, 50)"
flat,pivotal devaan apartments,sector 84,6500.0,2.0,2,0,5.0,Relatively New,0.39,568.0,0,0,0,0,0,0,0,"[0, 50)"
house,independent,sector 10a,14166.666666666666,2.0,1,2,2.0,Old Property,1.275,900.0,0,0,0,0,1,0,8,"[0, 50)"
flat,adarsh nagar,adarsh nagar,6190.0,3.0,3,1,1.0,New Property,0.65,1193.0,0,0,0,0,0,2,42,"[0, 50)"
flat,bestech park view residency,sector 2,6262.0,2.0,2,3,14.0,Moderately Old,0.98,1565.0,1,0,0,0,0,0,92,"[50, 100)"
house,independent,bhimgarh kheri phase 3,17596.0,2.0,3,2,2.0,Relatively New,1.7596,1000.0,0,0,0,0,0,0,8,"[0, 50)"
house,ansals palam vihar,sector 2,4402.272727272727,4.0,4,3+,2.0,Moderately Old,1.0565454545454545,2400.0,0,1,0,0,0,0,0,"[0, 50)"
flat,dlf new town heights,sector 86,8205.0,3.0,4,3+,12.0,Moderately Old,1.28,1773.0,0,1,0,1,0,0,96,"[50, 100)"
flat,the pearl apartmen,sector 15,5584.0,2.0,2,1,2.0,Relatively New,0.43,875.0,0,0,0,0,0,2,28,"[0, 50)"
flat,m3m soulitude,sector 89,9979.0,3.0,3,2,3.0,New Property,1.42,1617.0,0,0,0,0,0,0,15,"[0, 50)"
house,eros rosewood city,sector 49,14348.422496570643,3.0,3,1,2.0,Old Property,2.4406666666666665,1701.0,0,0,0,1,0,2,6,"[0, 50)"
house,vipul world,sector 48,6382.716049382717,6.0,5,3+,3.0,Moderately Old,3.82962962962963,6000.0,0,0,0,0,0,0,53,"[50, 100)"
flat,supertech hill town,sector-2 sohna road,6250.0,2.0,2,2,17.0,Under Construction,0.75,1200.0,1,0,0,1,1,0,83,"[50, 100)"
flat,signature global superbia,sector 95,6723.0,2.0,2,3,2.0,Under Construction,0.4,676.0,0,0,0,0,0,0,0,"[0, 50)"
flat,vatika lifestyle homes,sector 83,6553.0,3.0,2,3,15.0,Relatively New,1.15,1755.0,0,0,0,0,0,0,37,"[0, 50)"
flat,ss the leaf,sector 85,8075.0,3.0,4,3,7.0,Relatively New,1.93,2400.0,0,1,0,0,0,0,174,"[150, 200)"
flat,mapsko casa bella,sector 82,6903.0,4.0,5,3+,1.0,Relatively New,1.75,2535.0,0,0,0,0,0,0,54,"[50, 100)"
flat,emaar palm gardens,sector 83,9474.0,3.0,4,3,4.0,Relatively New,1.8,1414.0,1,1,1,1,0,2,174,"[150, 200)"
flat,aditya apartment,imt manesar,4032.0,3.0,4,0,3.0,New Property,1.0,2480.0,0,0,0,0,0,0,0,"[0, 50)"
flat,emaar mgf palm studios,sector 66,14796.0,2.0,2,3,3.0,Relatively New,1.45,1114.0,0,0,0,0,0,0,92,"[50, 100)"
flat,oriental valley chs,sector 9a,8108.0,4.0,3,3+,8.0,Moderately Old,1.5,2102.0,0,0,0,0,0,0,35,"[0, 50)"
house,independent,sohna road road,23915.887850467287,1.0,4,3+,4.0,Old Property,1.2794999999999999,535.0,0,0,0,0,0,0,8,"[0, 50)"
flat,experion windchants,sector 112,13383.0,3.0,5,3+,22.0,Relatively New,3.75,2802.0,0,1,0,0,0,2,49,"[0, 50)"
house,independent,sector 57,17151.162790697676,5.0,4,3+,2.0,Moderately Old,2.6550000000000002,1548.0,0,0,1,0,0,2,60,"[50, 100)"
flat,spectrum centre,sector 82a,9538.0,1.0,1,0,6.0,Relatively New,0.62,650.0,0,0,0,0,0,0,0,"[0, 50)"
flat,m3m woodshire,sector 107,5930.0,3.0,4,0,1.0,New Property,1.4,2361.0,0,0,0,0,0,0,67,"[50, 100)"
flat,sbtl caladium,sector 109,6219.0,4.0,4,3,8.0,Relatively New,1.9,3055.0,0,1,0,0,0,0,151,"[150, 200)"
house,independent,sector 21,19188.596491228072,3.0,2,1,1.0,Old Property,1.1666666666666667,608.0,0,0,0,0,0,0,0,"[0, 50)"
house,independent,sector 39,53308.82352941176,5.0,5,0,1.0,Relatively New,1.8125,340.0,0,0,0,0,0,0,0,"[0, 50)"
flat,pioneer araya,sector 62,19488.0,4.0,6,3,16.0,Relatively New,9.14,3702.0,1,1,1,0,0,2,146,"[100, 150)"
flat,chintels paradiso,sector 109,8867.0,3.0,3,2,0.0,Moderately Old,1.8,2028.0,0,1,0,0,0,0,83,"[50, 100)"
house,independent,near euro,288459.01639344264,2.0,4,3+,3.0,Moderately Old,1.7596,61.0,0,0,0,0,0,0,34,"[0, 50)"
flat,m3m woodshire,sector 107,6003.0,2.0,2,3+,7.0,Relatively New,0.82,1366.0,0,0,0,0,0,0,111,"[100, 150)"
house,independent,sector 28,19050.903119868635,2.0,2,1,3.0,Old Property,2.762380952380952,1450.0,0,0,1,0,0,0,37,"[0, 50)"
flat,emaar gurgaon greens,sector 102,9394.0,3.0,4,3,7.0,Relatively New,1.55,1162.0,0,1,0,0,0,2,152,"[150, 200)"
flat,emaar palm gardens,sector 83,9211.0,3.0,3,3,6.0,Relatively New,1.75,1600.0,0,1,0,0,0,2,150,"[150, 200)"
house,independent,sector 39,2589.285714285714,10.0,11,3+,4.0,Relatively New,1.8125,7000.0,0,0,0,1,0,2,38,"[0, 50)"
flat,dlf new town heights,sector 90,6477.0,3.0,3,3+,17.0,Relatively New,1.25,1700.0,0,1,0,1,0,0,65,"[50, 100)"
flat,experion the heartsong,sector 108,9238.0,2.0,2,3,10.0,Relatively New,0.97,1193.0,0,1,0,0,0,0,165,"[150, 200)"
flat,central park flower valley aqua front towers,sector 33,9450.0,3.0,3,3+,5.0,New Property,1.7,1807.0,0,0,0,0,0,2,44,"[0, 50)"
flat,ireo victory valley,sector 67,11832.0,3.0,3,3,4.0,Relatively New,2.99,2200.0,0,1,0,0,0,2,37,"[0, 50)"
flat,ss the leaf,sector 85,7317.0,2.0,2,3,12.0,Relatively New,1.2,1640.0,0,0,0,0,0,2,157,"[150, 200)"
flat,godrej oasis,sector 88a,7116.0,2.0,2,3,14.0,Relatively New,1.15,1327.0,1,0,0,1,0,0,174,"[150, 200)"
flat,emaar mgf emerald floors premier,sector 65,14430.0,4.0,4,3,2.0,Relatively New,2.85,1975.0,1,1,0,0,0,0,21,"[0, 50)"
flat,smart world orchard,sector 61,13913.0,2.0,2,2,3.0,New Property,1.6,1307.0,1,0,0,0,0,0,122,"[100, 150)"
flat,ats triumph,sector 104,7860.0,3.0,4,3,14.0,New Property,1.8,2602.0,0,0,0,0,0,0,60,"[50, 100)"
flat,signature global park,sohna road,7200.0,2.0,2,2,4.0,Under Construction,0.54,852.0,0,0,0,0,0,0,111,"[100, 150)"
flat,central park flower valley aqua front towers,sector 33,9503.0,3.0,3,3,12.0,Under Construction,1.7,1789.0,0,0,0,0,0,0,24,"[0, 50)"
flat,la vida by tata housing,sector 113,14091.0,3.0,3,3+,8.0,New Property,2.48,1980.0,0,1,0,0,0,0,79,"[50, 100)"
flat,signature global city 81,sector 81,9766.0,2.0,2,2,1.0,Under Construction,0.96,1222.0,0,0,0,0,0,0,49,"[0, 50)"
flat,satya the hermitage,sector 103,5625.0,3.0,4,3+,9.0,New Property,1.12,1705.0,0,1,0,0,0,0,49,"[0, 50)"
flat,awho shanti vihar,sector 95,8889.0,2.0,2,3,9.0,New Property,0.8,625.0,1,0,0,0,0,0,67,"[50, 100)"
house,independent,sector 50,9697.293447293448,5.0,5,3,2.0,Moderately Old,3.141923076923077,3240.0,0,1,0,0,0,0,20,"[0, 50)"
flat,ild greens,sector 37c,5067.0,3.0,3,3+,0.0,New Property,0.95,1875.0,0,0,0,0,0,0,51,"[50, 100)"
flat,signature global park 4,sector 36,6660.0,3.0,2,3,3.0,Under Construction,0.72,1081.0,0,0,0,0,0,0,0,"[0, 50)"
flat,dlf the ultima,sector 81,11412.0,3.0,3,3+,12.0,Relatively New,2.4,1650.0,0,1,0,0,0,1,49,"[0, 50)"
flat,la vida by tata housing,sector 113,10492.0,2.0,2,3,10.0,Relatively New,1.75,1573.0,1,0,0,0,0,0,93,"[50, 100)"
flat,m3m latitude,sector 65,26791.0,3.0,3,3,7.0,New Property,4.6,1717.0,1,1,1,1,0,0,115,"[100, 150)"
flat,antriksh heights,sector 84,5556.0,2.0,2,3,10.0,New Property,0.85,1350.0,1,0,0,0,1,0,24,"[0, 50)"
flat,signature global park,sohna road,6813.0,2.0,2,3,3.0,New Property,0.56,934.0,0,0,0,0,0,0,111,"[100, 150)"
flat,m3m skywalk,sector 74,12500.0,3.0,3,3,5.0,Relatively New,2.25,1900.0,1,0,0,0,0,0,174,"[150, 200)"
flat,emaar mgf the enclave,sector 66,12353.0,3.0,4,2,12.0,Relatively New,2.1,1800.0,0,1,0,0,0,2,156,"[150, 200)"
flat,the close south,sector 50,12810.0,3.0,4,3+,4.0,Old Property,3.25,2883.0,0,1,0,0,0,2,135,"[100, 150)"
flat,emaar mgf emerald floors premier,sector 65,14303.0,3.0,3,3,2.0,Relatively New,2.36,1591.0,1,1,0,0,0,2,136,"[100, 150)"
flat,godrej air,sector 85,9589.0,3.0,3,2,27.0,Relatively New,1.75,1825.0,0,0,0,0,0,0,44,"[0, 50)"
flat,hsiidc sidco shivalik apartments,sector 1 imt manesar,3559.0,3.0,3,3+,2.0,Moderately Old,0.73,1591.0,0,1,0,0,0,0,80,"[50, 100)"
house,independent,sector 2,6785.776843580312,2.0,4,3+,3.0,Old Property,1.0565454545454545,1557.0,0,0,0,0,0,2,28,"[0, 50)"
house,bptp visionnaire,sector 70a,6401.819923371647,4.0,4,3+,3.0,New Property,1.6708749999999999,2610.0,0,0,0,0,1,0,35,"[0, 50)"
house,independent,sector 3 phase 2,7650.0,2.0,1,0,1.0,Relatively New,0.3825,500.0,0,0,0,0,0,0,0,"[0, 50)"
house,independent,sector 105,9555.555555555555,2.0,2,1,1.0,Moderately Old,0.43,450.0,0,0,0,0,1,0,0,"[0, 50)"
flat,hcbs sports ville,sector 2,4375.0,2.0,2,2,8.0,Relatively New,0.35,800.0,0,0,0,0,0,0,37,"[0, 50)"
house,bhim nagar society,sector 6,3041.666666666666,4.0,2,2,1.0,Moderately Old,0.48666666666666664,1600.0,0,0,0,0,0,0,0,"[0, 50)"
house,tulip yellow,sector 69,8675.53724053724,4.0,3,2,3.0,New Property,1.5615967032967033,1800.0,0,0,0,1,1,1,111,"[100, 150)"
flat,ireo the grand arch,sector 58,16000.0,2.0,2,1,5.0,Relatively New,2.2,1562.0,0,0,0,1,0,2,49,"[0, 50)"
house,sector 14 rwa,sector 14,8070.175438596491,3.0,3,2,4.0,Moderately Old,2.622,3249.0,0,0,0,0,0,0,14,"[0, 50)"
flat,pyramid pride,sector 76,6579.0,2.0,2,1,8.0,Under Construction,0.5,864.0,0,0,0,0,0,0,76,"[50, 100)"
house,independent,sector 11,4074.074074074075,2.0,6,3+,3.0,Relatively New,0.49500000000000005,1215.0,0,0,0,0,0,0,14,"[0, 50)"
